natútutuhan / matútutuhan
"Matutuhan" is more commonly spelled as "matutunan."
Marami akóng natutuhan.	I learned a lot.
Sana matutunan mo akóng mahalín.	I hope you'd learn to love me.
Paano ko maitatalâ ang mga natutuhan ko?	How do I record what I learn?
Nápakarami kong natutuhang bagay mulâ sa kaniyá!	I learned very many things from him!
Natutunan ko itóng mag-isá. Waláng nagturò sa akin.	I learned this by myself. No one taught me.
Pagmámasdán mo kung papaano nilá ginagawâ iyón para matutunan mo.	You should observe closely how they do it so you'll learn.
Marami akong natutunan mula sa iyo.	I learned a lot from you.
Wala akong natutunan ni kahit ano mula sa guro.	I learned nothing from the teacher.
Natutunan ni Ben ang paggawa ng apoy na hindi gamit ang posporo.	Ben learned to make a fire without matches.
