mumurahin	cheap/inexpensive
mura	cheap/affordable
nababali	breakable
nababaluktot	flexible, pliable
nabubulok	perishable, decaying
nakakaantok	yawnful (boredom)
nakakaawa	pitiful
nakabAbahala	alarming
nakabibighani	charming, alluring
nakabIbingi	deafening
nakakadiri	disgusting
nakakagUlat	shocking, surprising
nakakagutom	causing hunger
nakakahawa	contagious, infectios
nakakahilo	dizzying
nakakahiya	embarrasing
nakakainggIt	enviable
nakakainis	annoying
nakakikilabot	terrifying
nakalalAson	poisonous
nakakalibAng	entertaining
nakakalitO	confusing
nakapagtAtaka	baffling, perplexing
nakapanghihIna	enervating
nakakahinAyang	regretable
nakakapanibago	not accostomed to
nakakasAwa	cloying, sickening
nakakasIlaw	dazzling, blinding
nakakasUgat	wounding
